city,lat,lon,folder,score_expected_x1000,score_actual_x1000,diff_abs,tolerance,pass
NewYork_US,40.7128,-74.006,osm_20250812_1659_40.7128_-74.0060,2.738,1.5023484788264834,1.2356515211735166,0.2738,False
Barcelona_ES,41.3874,2.1686,osm_20250812_1658_41.3874_2.1686,2.468,2.6052701575940675,0.13727015759406758,0.25,True
Tokyo_JP,35.6895,139.6917,osm_20250812_1701_35.6895_139.6917,2.331,2.5297261850060426,0.19872618500604267,0.25,True
Madrid_ES,40.4165,-3.7,osm_20250812_1701_40.4165_-3.7000,2.314,2.001659639080821,0.31234036091917927,0.25,False
Paris_FR,48.8566,2.3522,osm_20250812_1658_48.8566_2.3522,2.081,1.983779506989791,0.09722049301020896,0.25,True
Copenhagen_DK,55.6758,12.5683,osm_20250812_1700_55.6758_12.5683,2.013,1.495535661899506,0.517464338100494,0.25,False
MexicoCity_MX,19.4326,-99.1332,osm_20250812_1702_19.4326_-99.1332,1.941,2.047505516290378,0.10650551629037808,0.25,True
Amsterdam_NL,52.3676,4.9041,osm_20250812_1701_52.3676_4.9041,1.92,1.5478834753101502,0.3721165246898497,0.25,False
London_UK,51.5074,-0.1278,osm_20250812_1702_51.5074_-0.1278,1.468,1.5710442291435547,0.10304422914355471,0.25,True
Singapore_SG,1.3521,103.8198,osm_20250812_1702_1.3521_103.8198,0.792,1.7335795415348272,0.9415795415348271,0.25,False
